Game,Revenue,Initial release,Publisher(s),Genre(s)
Honkai Impact 3rd,731000000,2016-10-14,miHoYo,ARPG / Hack & slash
King of Avalon,721000000,2016-07-14,FunPlus,Strategy
Clash of Kings,700000000,2014-06-14,Elex Tech,Strategy / MMO
The Seven Deadly Sins: Grand Cross,680000000,2019-06-04,Netmarble,RPG
Hearthstone,660000000,2014-04-16,Blizzard (Activision Blizzard),DCCG
The Battle Cats,600000000,2012-11-01,PONOS Corporation,Real Time Strategy
The Idolmaster Cinderella Girls: Starlight Stage,524000000,2015-09-03,Bandai Namco Entertainment,DCCG / Rhythm
Final Fantasy XV: A New Empire,518400000,2017-06-29,Machine Zone / Square Enix,Strategy
Guns of Glory,510000000,2017-09-08,FunPlus,Strategy MMORPG
League of Legends: Wild Rift,505000000,2020-10-27,Riot Games (Tencent),MOBA
Minecraft,500000000,2011-11-18,Mojang Studios,Sandbox / Survival
Crossfire Mobile,458000000,2015-12-03,Smilegate / Tencent,Tactical FPS
Blade & Soul Revolution,457000000,2018-12-06,Netmarble,MMORPG
Bingo Blitz,443000000,2012-08-12,Playtika,Online Bingo
Harry Potter: Hogwarts Mystery,401000000,2018-04-25,Jam City (Netmarble),RPG
8 Ball Pool,400000000,2010-10-15,Miniclip,Sports (pool)
Harry Potter: Magic Awakened,358000000,2021-09-09,NetEase / Portkey Games,RPG
Angry Birds 2,332500000,2015-07-30,Rovio Entertainment,Physics / Puzzle
FIFA Mobile / FIFA Soccer,308700000,2016-10-11,EA Sports (Electronic Arts),Sports (association football)
Lineage W,302985000,2021-11-04,NCsoft,MMORPG
Black Desert Mobile,300000000,2019-06-15,Kakao Games,MMORPG
Yu-Gi-Oh! Duel Links,284000000,2016-11-17,Konami,Digital collectible card game
Mario Kart Tour,282000000,2019-09-25,Nintendo,Racing (Kart)
Animal Crossing: Pocket Camp,282000000,2017-10-25,Nintendo,Simulation (Social)
#COMPASS,281000000,2016-12-17,NHN PlayArt / Dwango,MOBA
Raid: Shadow Legends,247000000,2018-07-29,Plarium,RPG
Star Trek Fleet Command,222000000,2018-11-29,Scopely / CBS Interactive,Strategy (4X)
Project Makeover,218000000,2020-11-27,Bubblegum Games,Puzzle / Decoration
Harry Potter: Puzzles & Spells,218000000,2020-09-22,Portkey Games / Zynga,Puzzle
DomiNations,200000000,2015-04-01,Big Huge Games,Strategy
Candy Crush Friends Saga,200000000,2018-10-10,King (Activision Blizzard),Puzzle
Top War,192000000,2019-12-31,Topwar Studio,Strategy
Empire & Puzzles,186000000,2017-03-01,Small Giant Games,Puzzle / RPG
KartRider Rush+,169000000,2020-05-31,Nexon,Racing (Kart)
Dragalia Lost,168000000,2018-09-27,Nintendo,Action RPG
Perfect World Mobile,165000000,2019-03-05,Perfect World Games / Tencent,MMORPG
Three Kingdoms Fantasy Land,161600000,2020-06-20,Alibaba Group,Strategy (auto battler)
Candy Crush Jelly Saga,158000000,2015-08-28,King (Activision Blizzard),Puzzle
Jikkyō Powerful Pro Yakyū,155000000,2014-12-18,Konami,Sports (baseball)
Puzzles & Survival,151000000,2020-10-02,37Games,Puzzle / Strategy
Slotomania,149000000,2011-11-07,Playtika,Simulation (Slot)
NBA Live Mobile,140000000,2016-07-06,EA Sports (Electronic Arts),Sports (basketball)
White Cat Project,134000000,2014-07-14,Colopl,Action RPG
BanG Dream! Girls Band Party!,124050000,2017-03-16,Bushiroad,Rhythm / Adventure
CSR Racing 2,121500000,2016-06-29,NaturalMotion (Zynga),Racing
One Piece: Burning Will,117000000,2018-09-20,Bandai Namco / Alibaba Group,RPG
One Piece: The Road of the Strong,113840000,2016-01-15,CMGE,DCCG
Yahtzee With Buddies,113000000,2017-11-01,Scopely,Yahtzee
Dragon Quest Tact,111990000,2020-07-16,Square Enix,Tactical RPG
Fallout Shelter,100000000,2015-06-14,Bethesda Softworks,Simulation (CMS)
Mafia City,100000000,2017-07-25,Yotta Games,RPG
Madden NFL Overdrive,100000000,2018-08-15,EA Sports (Electronic Arts),Sports (American football)
